user_id,text_original,likes_count,user_sex,user_age,text_lemmatized
226105803,"Соловьев, буп бип буп бип",1,m,18,соловьёв буп бип буп бип
27037232,У Соловья самая позорная передача в интернете,0,m,None,у соловей самый позорный передача интернет
618565260,Журналист которого мы заслужили. тОчнее итальянский гражданин,1,f,27,журналист который заслужить точнее итальянский гражданин
271533693,"Естественно, Роскомнадзор за этот фейк ему ничего не сделает - это же не либеральные СМИ!",1,m,None,естественно роскомнадзор фейк сделать это либеральный сми
451780879,"Неееет это все ведь режжисируют работники там, они оьлажалмсь с видео где Азербайджан а теперь и тут?)",0,m,None,неееть это режжисировать работник оьлажалмсить видео азербайджан
15550761,В том же выпуске - шокирующие кадры с Украины,366,m,27,в выпуск шокировать кадр украина
117468916,Господи какой он вшивый додик,2,f,None,господь вшивый додик
8635047,"Ну ладно, это ж блог типа)",0,m,None,ну ладный это блог тип
1801750,"ну им не в первой срины\ролики из игр показывать) 
з.ы. а в чо соловей шпилит?",0,m,None,первый игра показывать что соловей шпилить
489066902,"Друзья давайте жалобы кинем на спам и мошенничество,уже несколько его видосов так удалили)",5,m,30,друг давать жалоба кинема спам мошенничество несколько видос удалить
450138623,"Или мне кажется, или его прямые эфиры похожи на эфиры Навального. Даже тут Соловьев умудрился своровать идею?",0,m,None,или казаться прямой эфир похожий эфир навальный даже соловьёв умудриться своровать идея
108796710,А разве ктото ещё не в курсе что сольевьев peace doll boll,1,m,None,а ктоть ещё курс сольево peace doll boll
281334194,Вечерний мyдaзвoн опять жидко oбocpaлся,0,m,46,вечерний мyдaзвoн жидко oбocpaться
350507771,"Соловьев - ""уникум"" российской журналистики, второго такого идиота уже не будет. 
Он достигает апофеоза продажности в каждом выпуске своей программы, в том числе, благодаря своей прекрасной продажной команде редакторов.

https://youtu.be/1PXbc3R-4_c",2,m,27,соловьёв уникум российский журналистика второй такой идиот он достигать апофеоз продажность каждый выпуск свой программа число благодаря свой прекрасный продажный команда редактор https
173417641,"Это в очередной раз доказывает, что вся либерда смотрит Соловьева))) Нахрен вы это смотрите если он там кал вещает? Странные вы конечно.",2,m,30,это очередной доказывать весь либерда смотреть соловьёв нахрен это смотреть кал вещать странный
114211697,О н  дypaчoк или прикидывается ? 🤣,0,m,None,о н дypaчoк прикидываться
304365531,"силуэт этого самолёт на видео, его похоже на никакие мысли не навёл?",3,m,None,силуэт самолёт видео похоже никакой мысль навести
14371038,Никогда такого не было и вот опять,0,m,33,никогда такой
591940182,У него деменция?четыре пять,0,f,23,у деменция четыре пять
96710027,"Кидайте этой свинье репорты на ютубе,эта свинособака с накрученными просмотрами всегда в трендах ютуба",4,m,None,кидать свинья репорт ютуба этот свинособака накрутить просмотр тренд ютуба
181634811,"В Карабахе оказывается море есть 
Поздравьте Соловья с открытием моря ""пизджа""",3,m,None,в карабах оказываться море поздравить соловей открытие море пиздж
